word,count_c0,count_c1,log_odds_delta,z
দেখলাম,59,14,0.5848432208051975,2.064683320964319
।,58,14,0.5692496903423789,2.0049346024762813
শ্রেষ্ঠ,19,0,3.0231667546596546,1.9794819070042609
ছবিটি,26,4,0.9696249312891059,1.9369898720597885
চোখে,19,2,1.290530800963528,1.9157135913095078
পর,32,6,0.795865668066071,1.8979693009015588
দেখলাম।,17,0,3.023040977442659,1.8723245325931521
উপহার,15,1,1.649043092922426,1.848971810395937
প্রিয়,15,1,1.649043092922426,1.848971810395937
মধ্যে,18,2,1.2458624240761047,1.8360687750985027
সিনেমাটা,16,0,3.022978095372795,1.8163838198710751
সামাজিক,15,0,3.022915217661251,1.7586694902195026
ফিল্ম,17,2,1.198206189586652,1.7525226786610508
তাদের,20,3,0.99134712044612,1.7206673563444144
কখনো,13,1,1.5403326009421034,1.6898183955407917
সুন্দর।,13,1,1.5403326009421034,1.6898183955407917
ইতিহাসে,13,0,3.022789475310814,1.6371640916616637
লাগলো,46,12,0.49796687766525416,1.6063707936438774
সময়,12,1,1.4779650367192252,1.6025511075577221
চলচ্চিত্র,12,1,1.4779650367192252,1.6025511075577221
আজকে,12,1,1.4779650367192252,1.6025511075577221
তুলনা,12,0,3.022726610670765,1.5729036686473756
মুভিটি,15,2,1.0923764900333,1.571830230851292
জীবনে,15,2,1.0923764900333,1.571830230851292
প্রতি,18,3,0.8993917203090529,1.5399976085600384
দেখছি,18,3,0.8993917203090529,1.5399976085600384
পুরো,21,4,0.7814534430867841,1.5184946289967982
যে,64,19,0.3793256419722546,1.511468651947563
গুলো,36,9,0.5366231291857106,1.508073412863501
সবচেয়ে,11,0,3.0226637503867293,1.505909292880132
যতবার,11,0,3.0226637503867293,1.505909292880132
মন,47,13,0.44423907489217385,1.4792563051751972
তবে,14,2,1.0332267461069327,1.4735121528546855
এইসব,14,2,1.0332267461069327,1.4735121528546855
চমৎকার,14,2,1.0332267461069327,1.4735121528546855
বাংলাদেশের,44,12,0.457120665518433,1.4653749201958628
ভরে,17,3,0.8490343365403179,1.4430601993102976
মুভিতে,17,3,0.8490343365403179,1.4430601993102976
টি,10,0,3.022600894458127,1.4357983156845695
মত,26,6,0.609156893080641,1.4131942802758555
মনের,10,1,1.3320370307309055,1.407931697793908
পছন্দের,10,1,1.3320370307309055,1.407931697793908
লেগেছে।,10,1,1.3320370307309055,1.407931697793908
মিলে,10,1,1.3320370307309055,1.407931697793908
নাটক,10,1,1.3320370307309055,1.407931697793908
এখনকার,10,1,1.3320370307309055,1.407931697793908
বেস্ট,13,2,0.969089643524347,1.3689025446229173
এসে,13,2,0.969089643524347,1.3689025446229173
লাগে।,9,0,3.0225380428843813,1.362089557755198
মুভিটার,9,0,3.0225380428843813,1.362089557755198
কিন্তু,48,14,0.3953470328897506,1.3557347977684508
আমি,85,28,0.2831063448091662,1.3483314052349642
ভীষণ,16,3,0.7952826567105342,1.3410838320643128
বাংলার,22,5,0.6228667444630451,1.3218287231722612
কতবার,8,0,3.022475195664917,1.28416364850208
শেষের,8,0,3.022475195664917,1.28416364850208
যুগের,8,0,3.022475195664917,1.28416364850208
টাই,8,0,3.022475195664917,1.28416364850208
"ছবি,",12,2,0.899155628298943,1.2570727114421913
যুগ,12,2,0.899155628298943,1.2570727114421913
করেছেন,12,2,0.899155628298943,1.2570727114421913
সেই,27,7,0.5031387953011359,1.240704928842148
বছর,15,3,0.7376950702968736,1.2334920454012477
সত্যিই,21,5,0.580638480563338,1.2244448203399951
চোখের,18,4,0.643066285131912,1.2243249078461955
ছোট,18,4,0.643066285131912,1.2243249078461955
চলচ্চিত্রের,7,0,3.022412352799156,1.2012001246130863
"দেখলাম,",7,0,3.022412352799156,1.2012001246130863
অন্যতম,7,0,3.022412352799156,1.2012001246130863
দেওয়ার,7,0,3.022412352799156,1.2012001246130863
পুরনো,7,0,3.022412352799156,1.2012001246130863
"মুভি,",7,0,3.022412352799156,1.2012001246130863
ধন্যবাদ।,7,0,3.022412352799156,1.2012001246130863
দেখেছিলাম,7,0,3.022412352799156,1.2012001246130863
আশা,7,0,3.022412352799156,1.2012001246130863
সম্পর্ক,7,0,3.022412352799156,1.2012001246130863
আলাদা,7,0,3.022412352799156,1.2012001246130863
জসিম,7,0,3.022412352799156,1.2012001246130863
একেবারে,8,1,1.1468298863202486,1.1766939945805475
বা,8,1,1.1468298863202486,1.1766939945805475
ছিলাম,8,1,1.1468298863202486,1.1766939945805475
এত,45,14,0.33555106365663967,1.1397999772089995
তখন,11,2,0.8224038815251529,1.1368811532199934
ইতিহাসের,11,2,0.8224038815251529,1.1368811532199934
সেটা,11,2,0.8224038815251529,1.1368811532199934
